Word,Rank,Frequency
syme,453,519
true,454,518
coming,455,517
others,456,516
lay,457,516
least,458,516
ground,459,515
leave,460,514
flesh,461,513
until,462,510
manner,463,509
passed,464,508
cause,465,507
harriet,466,506
walk,467,503
eye,468,502
matter,469,499
afraid,470,498
alone,471,498
brown,472,498
tree,473,497
evening,474,496
wish,475,495
got,476,493
fall,477,489
john,478,487
family,479,485
commanded,480,485
less,481,484
enter,482,484
"--""",483,483
friends,484,483
towards,485,482
replied,486,481
answer,487,480
ten,488,477
36,489,477
kind,490,476
behind,491,474
twenty,492,472
drink,493,468
die,494,468
toward,495,468
black,496,467
war,497,466
times,498,465
35,499,462
second,500,459
bread,501,459
hour,502,458
book,503,456
along,504,453
midst,505,450
money,506,448
haue,507,448
reason,508,446
silver,509,445
waters,510,443
joy,511,442
weston,512,440
field,513,440
kept,514,439
priests,515,439
large,516,435
saul,517,435
ask,518,433
country,519,433
mighty,520,433
help,521,431
red,522,431
living,523,429
feel,524,426
fine,525,426
macian,526,426
remember,527,425
kings,528,425
often,529,423
wicked,530,423
37,531,422
course,532,421
understand,533,420
garden,534,417
spoken,535,415
pleasure,536,413
returned,537,413
person,538,413
ready,539,411
sweet,540,408
certainly,541,407
nature,542,407
dark,543,406
green,544,405
strange,545,404
dwell,546,404
boat,547,403
burnt,548,403
women,549,402
altar,550,402
alice,551,401
short,552,400
able,553,399
nations,554,398
send,555,397
broken,556,397
written,557,396
faith,558,395
table,559,394
anything,560,394
bed,561,393
master,562,393
chief,563,391
knightley,564,389
surely,565,389
38,566,387
ought,567,386
gods,568,386
elton,569,385
laid,570,383
strength,571,383
wherefore,572,383
praise,573,381
either,574,380
ran,575,380
jacob,576,380
rose,577,379
itself,578,378
judgment,579,377
congregation,580,376
trees,581,375
business,582,374
gate,583,374
?--,584,371
yea,585,371
wise,586,370
honour,587,369
meet,588,368
walked,589,367
glad,590,365
six,591,365
received,592,365
kingdom,593,364
suppose,594,362
40,595,361
works,596,360
lost,597,359
doubt,598,359
suddenly,599,359
ham,600,358
beyond,601,356
hair,602,356
wall,603,355
",)",604,353
aaron,605,352
blessed,606,351
arm,607,351
opened,608,350
;--,609,348
talk,610,348
seek,611,347
knowledge,612,345
case,613,345
immediately,614,343
hard,615,343
mercy,616,343
chapter,617,342
seeing,618,342
wood,619,342
",--",620,341
point,621,341
silence,622,341
wind,623,341
deal,624,340
offer,625,339
deep,626,338
save,627,338
sit,628,337
making,629,337
sing,630,337
month,631,337
meat,632,337
39,633,336
seed,634,335
fish,635,333
bad,636,333
cry,637,333
sound,638,333
!',639,332
fruit,640,332
mount,641,332
spirits,642,331
letter,643,331
run,644,331
fast,645,331
tabernacle,646,331
read,647,330
free,648,329
past,649,327
.',650,327
enemies,651,327
gentleman,652,326
top,653,326
wine,654,325
thoughts,655,324
judge,656,324
.),657,324
third,658,323
river,659,323
daughters,660,322
become,661,322
shew,662,321
41,663,321
solomon,664,321
husband,665,320
fight,666,320
colonel,667,320
fair,668,319
destroy,669,319
wilderness,670,319
places,671,318
low,672,317
delivered,673,317
gathered,674,316
stone,675,315
ve,676,315
please,677,314
angel,678,314
continued,679,314
righteousness,680,314
woodhouse,681,313
used,682,313
anger,683,312
longer,684,311
company,685,311
ways,686,310
already,687,310
forward,688,310
sense,689,310
appeared,690,310
seem,691,310
party,692,310
lest,693,310
wild,694,310
sake,695,309
darkness,696,309
carried,697,308
deliver,698,308
hardly,699,307
ill,700,307
mary,701,307
comes,702,305
close,703,305
followed,704,304
use,705,304
hosts,706,304
jane,707,303
died,708,302
born,709,302
common,710,302
covenant,711,302
oil,712,302
possible,713,301
idea,714,299
babylon,715,299
sleep,716,298
care,717,297
vain,718,297
general,719,296
line,720,296
standing,721,295
thyself,722,295
number,723,294
pretty,724,293
battle,725,293
except,726,292
receive,727,292
concerning,728,292
perfect,729,291
yourself,730,291
morrow,731,291
silent,732,291
wait,733,291
fellow,734,291
susan,735,291
means,736,290
spoke,737,289
hill,738,289
elliot,739,289
princes,740,288
early,741,287
sometimes,742,287
blue,743,287
feelings,744,287
doth,745,287
wisdom,746,287
girl,747,286
became,748,285
window,749,285
play,750,285
rise,751,285
wilt,752,285
wonder,753,284
state,754,284
iron,755,283
cometh,756,283
cold,757,281
grace,758,281
need,759,280
iniquity,760,280
follow,761,279
beginning,762,278
pharaoh,763,278
length,764,277
visit,765,276
wanted,766,276
stay,767,276
added,768,276
heads,769,276
serve,770,274
edward,771,274
change,772,273
town,773,273
south,774,273
instant,775,273
st,776,273
multitude,777,273
pleased,778,272
whales,779,271
offerings,780,271
street,781,270
42,782,269
beautiful,783,268
twelve,784,268
prophet,785,268
subject,786,267
wrong,787,267
host,788,266
lie,789,266
filled,790,266
doing,791,265
levites,792,265
secret,793,264
won,794,264
lived,795,263
real,796,263
break,797,263
watch,798,263
44,799,263
held,800,262
foot,801,261
song,802,261
abraham,803,261
philistines,804,261
comfort,805,260
thirty,806,260
question,807,260
jews,808,260
east,809,259
mountains,810,259
hell,811,258
account,812,257
seems,813,257
houses,814,257
stubb,815,257
command,816,254
taking,817,254
bow,818,254
bare,819,254
louisa,820,254
temple,821,254
